Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo 28 Juni 2022,Chrome 103.0.5060.53,,,2022-06-27 19:22:12,2022-06-27 19:23:58,1m - 46.434s,PASSED
,,,,,,,
Test Cases/Demo 28 Juni 2022/Create Sales Order with 11prct PPN (Box Layer),Chrome 103.0.5060.53,,,2022-06-27 19:22:12,2022-06-27 19:23:02,49.696s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-06-27 19:22:13,2022-06-27 19:22:16,3.009s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.53,,,2022-06-27 19:22:16,2022-06-27 19:22:18,2.120s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.53,,,2022-06-27 19:22:18,2022-06-27 19:22:19,0.944s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.53,,,2022-06-27 19:22:19,2022-06-27 19:22:19,0.544s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-06-27 19:22:19,2022-06-27 19:22:19,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:19,2022-06-27 19:22:20,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:20,2022-06-27 19:22:27,7.617s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tab Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:27,2022-06-27 19:22:28,0.986s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Add New Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:28,2022-06-27 19:22:31,2.770s,PASSED
"no_Sales_order_box_layer = ""bxldhyr""",Chrome 103.0.5060.53,,,2022-06-27 19:22:31,2022-06-27 19:22:31,0.002s,PASSED
noSalesOrderBoxLayer = no_Sales_order_box_layer,Chrome 103.0.5060.53,,,2022-06-27 19:22:31,2022-06-27 19:22:32,0.288s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input No Sales Order""), no_Sales_order_box_layer)",Chrome 103.0.5060.53,,,2022-06-27 19:22:32,2022-06-27 19:22:33,1.122s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Sales Person""), ""sujadi"")",Chrome 103.0.5060.53,,,2022-06-27 19:22:33,2022-06-27 19:22:34,0.968s,PASSED
delay(3),Chrome 103.0.5060.53,,,2022-06-27 19:22:34,2022-06-27 19:22:37,3.052s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Sales/303 - Sujadi""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:37,2022-06-27 19:22:37,0.504s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Customer Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:37,2022-06-27 19:22:38,0.575s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Customer""), ""pinrang"")",Chrome 103.0.5060.53,,,2022-06-27 19:22:38,2022-06-27 19:22:39,0.950s,PASSED
delay(3),Chrome 103.0.5060.53,,,2022-06-27 19:22:39,2022-06-27 19:22:42,3.024s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Customer/PT Pinrang Pantai Indah""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:42,2022-06-27 19:22:42,0.542s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Billing Address Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:42,2022-06-27 19:22:43,1.035s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Billing Address PT Pinrang Pantai Indah""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:43,2022-06-27 19:22:44,0.580s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Shipping Address Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:44,2022-06-27 19:22:44,0.587s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Shipping Address PT Pinrang Pantai Indah""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:44,2022-06-27 19:22:45,0.597s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/i_tambah item""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:45,2022-06-27 19:22:46,0.939s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Type Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:46,2022-06-27 19:22:46,0.459s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Tipe Box""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:46,2022-06-27 19:22:47,0.794s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/MasterCard Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:47,2022-06-27 19:22:48,0.579s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Mastercard/PT Pinrang Pantai Indah (10849 - 008420 - DUS CARMEL MOONCAKE - K150 0 0 M1)""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:48,2022-06-27 19:22:49,0.808s,PASSED
"qty = ""100""",Chrome 103.0.5060.53,,,2022-06-27 19:22:49,2022-06-27 19:22:49,0.001s,PASSED
qtySalesOrderBoxLayer = qty,Chrome 103.0.5060.53,,,2022-06-27 19:22:49,2022-06-27 19:22:49,0.001s,PASSED
