Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Juli 2022,Chrome 103.0.5060.66,,,2022-07-06 10:01:00,2022-07-06 10:04:03,3m - 2.772s,FAILED
,,,,,,,
Test Cases/SKT ERP/Sales/3 - Create Sales Order with 11prct PPN (Box Layer),Chrome 103.0.5060.66,,,2022-07-06 10:01:00,2022-07-06 10:01:46,45.208s,PASSED
"openBrowser("""")",Chrome 103.0.5060.66,,,2022-07-06 10:01:01,2022-07-06 10:01:04,2.788s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:04,2022-07-06 10:01:05,1.731s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:05,2022-07-06 10:01:06,0.933s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.66,,,2022-07-06 10:01:06,2022-07-06 10:01:07,0.543s,PASSED
maximizeWindow(),Chrome 103.0.5060.66,,,2022-07-06 10:01:07,2022-07-06 10:01:07,0.167s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:07,2022-07-06 10:01:07,0.452s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:07,2022-07-06 10:01:10,2.867s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tab Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:10,2022-07-06 10:01:11,0.914s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Add New Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:11,2022-07-06 10:01:14,3.211s,PASSED
"no_Sales_order_box_layer = ""git2box2lyr""",Chrome 103.0.5060.66,,,2022-07-06 10:01:14,2022-07-06 10:01:14,0.000s,PASSED
noSalesOrderBoxLayer = no_Sales_order_box_layer,Chrome 103.0.5060.66,,,2022-07-06 10:01:14,2022-07-06 10:01:15,0.541s,PASSED
"qty = ""100""",Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:15,0.001s,PASSED
qtySalesOrderBoxLayer = qty,Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:15,0.001s,PASSED
"price = ""9880""",Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:15,0.001s,PASSED
"price2 = ""9800""",Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:15,0.004s,PASSED
"price3 = ""10800""",Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:15,0.002s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input No Sales Order""), no_Sales_order_box_layer)",Chrome 103.0.5060.66,,,2022-07-06 10:01:15,2022-07-06 10:01:16,1.204s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Sales Person""), ""sujadi"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:16,2022-07-06 10:01:17,0.919s,PASSED
delay(3),Chrome 103.0.5060.66,,,2022-07-06 10:01:17,2022-07-06 10:01:20,3.035s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Sales/303 - Sujadi""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:20,2022-07-06 10:01:21,0.460s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Customer Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:21,2022-07-06 10:01:21,0.549s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Customer""), ""pinrang"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:21,2022-07-06 10:01:22,0.922s,PASSED
delay(3),Chrome 103.0.5060.66,,,2022-07-06 10:01:22,2022-07-06 10:01:25,3.018s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Customer/PT Pinrang Pantai Indah""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:25,2022-07-06 10:01:26,0.496s,PASSED
"scrollToElement(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Billing Address Field""), 30)",Chrome 103.0.5060.66,,,2022-07-06 10:01:26,2022-07-06 10:01:27,1.516s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Billing Address Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:27,2022-07-06 10:01:27,0.413s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Billing Address PT Pinrang Pantai Indah""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:27,2022-07-06 10:01:28,0.553s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Shipping Address Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:28,2022-07-06 10:01:29,0.531s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Shipping Address PT Pinrang Pantai Indah""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:29,2022-07-06 10:01:29,0.616s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/i_tambah item""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:29,2022-07-06 10:01:30,0.865s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Type Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:30,2022-07-06 10:01:30,0.484s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Tipe Box""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:30,2022-07-06 10:01:31,0.765s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/MasterCard Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:31,2022-07-06 10:01:32,0.563s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Mastercard/PT Pinrang Pantai Indah (10849 - 008420 - DUS CARMEL MOONCAKE - K150 0 0 M1)""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:32,2022-07-06 10:01:33,0.771s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Quantity""), qty)",Chrome 103.0.5060.66,,,2022-07-06 10:01:33,2022-07-06 10:01:34,1.155s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Field""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:34,2022-07-06 10:01:34,0.563s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Pcs""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:34,2022-07-06 10:01:35,0.673s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price)",Chrome 103.0.5060.66,,,2022-07-06 10:01:35,2022-07-06 10:01:36,1.301s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Tanggal Kirim""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:36,2022-07-06 10:01:37,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tanggal 30""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:37,2022-07-06 10:01:37,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:37,2022-07-06 10:01:38,0.857s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Edit Sales Order Line 2""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:38,2022-07-06 10:01:40,1.177s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price2)",Chrome 103.0.5060.66,,,2022-07-06 10:01:40,2022-07-06 10:01:41,1.319s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:41,2022-07-06 10:01:41,0.596s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Edit Sales Order Line 3""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:41,2022-07-06 10:01:43,1.164s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price3)",Chrome 103.0.5060.66,,,2022-07-06 10:01:43,2022-07-06 10:01:44,1.369s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:44,2022-07-06 10:01:45,0.602s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:45,2022-07-06 10:01:46,0.945s,PASSED
,,,,,,,
Test Cases/SKT ERP/Release Sales Order/3 - Release Sales Order Box Layer,Chrome 103.0.5060.66,,,2022-07-06 10:01:46,2022-07-06 10:02:48,1m - 2.468s,PASSED
"openBrowser("""")",Chrome 103.0.5060.66,,,2022-07-06 10:01:46,2022-07-06 10:01:48,2.210s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:48,2022-07-06 10:01:51,2.362s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.66,,,2022-07-06 10:01:51,2022-07-06 10:01:52,0.863s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.66,,,2022-07-06 10:01:52,2022-07-06 10:01:52,0.512s,PASSED
maximizeWindow(),Chrome 103.0.5060.66,,,2022-07-06 10:01:52,2022-07-06 10:01:52,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:52,2022-07-06 10:01:53,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:53,2022-07-06 10:01:56,3.782s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Tab Release Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:56,2022-07-06 10:01:58,1.287s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Button Filters""))",Chrome 103.0.5060.66,,,2022-07-06 10:01:58,2022-07-06 10:02:20,21.941s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Filters by No SO""))",Chrome 103.0.5060.66,,,2022-07-06 10:02:20,2022-07-06 10:02:20,0.553s,PASSED
noSalesOrder = noSalesOrderBoxLayer,Chrome 103.0.5060.66,,,2022-07-06 10:02:20,2022-07-06 10:02:20,0.001s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Filters by No SO""), noSalesOrder)",Chrome 103.0.5060.66,,,2022-07-06 10:02:20,2022-07-06 10:02:21,0.913s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Search in Filters""))",Chrome 103.0.5060.66,,,2022-07-06 10:02:21,2022-07-06 10:02:22,0.572s,PASSED
"scrollToElement(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Search in Filters""), 30)",Chrome 103.0.5060.66,,,2022-07-06 10:02:22,2022-07-06 10:02:24,2.718s,PASSED
delay(5),Chrome 103.0.5060.66,,,2022-07-06 10:02:24,2022-07-06 10:02:29,5.017s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Release""))",Chrome 103.0.5060.66,,,2022-07-06 10:02:29,2022-07-06 10:02:30,0.467s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Ya for Release Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 10:02:30,2022-07-06 10:02:31,0.923s,PASSED
